,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage,Funding_Year,Tech_Status
151,Rapido,2015.0,Bangalore,Information Technology,Rapido is a bike taxi service spread widely across all of India from Tier 1 to Tier 3 cities.,"Aravind Sanka, Pavan Guntupalli, SR Rishikesh","Shell Ventures, Yamaha, Kunal Shah",52000000.0,Unstated,2021,Tech
152,YPay,2017.0,Noida,Information Technology,YPay Card is the new way to manage money.,Dr Navneet Gupta,We Founder Circle,400000.0,Unstated,2021,Tech
153,SleepyCat,2017.0,Mumbai,Real Estate,An online sleep solutions company that believes in delivering luxurious sleep to everyone.,Kabir Siddiq,"Saama Capital, DSG Consumer Partners, Sharrp Ventures",3800000.0,Unstated,2021,Non-tech
154,Ultrahuman,2020.0,Bangalore,Health Care,Ultrahuman is a global health and fitness platform that aids our user to achieve their true physical and mental potential.,"Mohit Kumar, Vatsal Singhal",Tiger Global’s Scott Schleifer,17500000.0,Unstated,2021,Non-tech
155,UpScalio,2021.0,Gurugram,Consumer Discretionary,"UpScalio is India’s next generation, data-driven consumer goods company.",Gautam Kshatriya,,42000000.0,Unstated,2021,Tech
156,Yellow Class,2020.0,Gurugram,Information Technology,"Yellow Class is a new-age fun-learning platform where kids between 2-12 years can learn from a wide range of classes like dancing, drawing, personality development, creative writing and so on","Anshul Gupta, Arpit Mittal",Elevation Capital,6000000.0,Unstated,2021,Tech
157,Yojak,2019.0,Gurugram,Consumer Discretionary,India’s first B2B online marketplace for building material.,Anuj Jain,Info Edge Ventures,3800000.0,Unstated,2021,Non-tech
158,CreatorStack,2019.0,Bangalore,Information Technology,Helping creators globally to engage deeply with their fans and communities,"Ankit Acharya, Kevin William David",Accel,2000000.0,Unstated,2021,Tech
159,Expertrons,2019.0,Mumbai,Information Technology,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,"Jatin Solank, Vivek Gupta","Venture Catalysts, Auxano Capital, Venture Garage, Yoga Capital, Ah!Ventures, Lead Angels",2300000.0,Unstated,2021,Tech
160,Rage Coffee,2018.0,New Delhi,Customer Staples,"Rage Coffee is a digitally native FMCG company that manufactures, markets & distributes innovative coffee products.",Bharat Sethi,Sixth Sense Ventures,5000000.0,Unstated,2021,Non-tech
161,Klub,2019.0,Bangalore,Financials,Klub was founded with the vision of revolutionizing growth capital for Asia’s most loved brands.a,"Anurakt Jain, Ishita Verma","9Unicorns, Sequoia Capital India’s Surge",20000000.0,Unstated,2021,Non-tech
162,Navia Life Care,2016.0,New Delhi,Health Care,Navia Life Care is a health technlogy company with a special focus on patient care.,"Nupur Khandelwal, Kunal Kishore Dhawan, Gaurav Gupta","Anicut Angel Fund, 9 Unicorns",1000000.0,Unstated,2021,Non-tech
163,1K Kirana Bazaar,2018.0,Gurugram,Consumer Discretionary,India's First and Largest Network of Small-Town Kirana Stores,"Abhishek Halder, Anilesh Yadav, Kumar Sangeetesh","Info Edge, FalconEdge",7000000.0,Unstated,2021,Non-tech
164,Zupee,2018.0,Gurugram,Consumer Discretionary,"Mission to improve people’s lives by improving their learning ability, skills and mental aptitude through scientifically designed mental exercises, applications","Dilsher Singh, Siddhant Saurabh","WestCap Group, Tomales Bay Capital",30000000.0,Unstated,2021,Non-tech
165,Locale.ai,2019.0,Bangalore,Information Technology,Location Analytics for Companies With Moving Assets and Ground Operations.,"Rishabh Jain, Aditi Sinha","Chiratae Ventures, Better Capital",1000000.0,Unstated,2021,Non-tech
166,VerSe Innovation,2018.0,Bangalore,Communication Services,"The core of the company (VerSe Innovation), is the idea that technology can help bridge the digital divide.",Umang Bedi,"Siguler Guff, Baillie Gifford",450000000.0,Unstated,2021,Non-tech
168,Miko,2015.0,Mumbai,Consumer Discretionary,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.","Sneh R Vaswani, Prashant V Iyengar, Chintan S Raikar","IIFL AMC, Mankind Pharma Family Office, Aroa Ventures",28000000.0,Unstated,2021,Non-tech
169,Whiz League,2020.0,New Delhi,Information Technology,Revolutionizing learning experience that goes beyond academia,"Natasha Jain, Sonia Agarwal Bajaj",ITI Growth Opportunities,300000.0,Unstated,2021,Tech
170,Hash,2020.0,New Delhi,Customer Staples,Hash is a new startup in consumer goods.,Shwetank Jain,Amrac Investment Trust,3500000.0,Unstated,2021,Non-tech
172,Log 9 Materials,2014.0,Bangalore,Information Technology,Log9 Materials is on a mission to make global energy 100% clean.,"Akshay Singhal, Kartik Hajela",Amara Raja Batteries,8500000.0,Series A,2021,Tech
173,upGrad,2015.0,Mumbai,Information Technology,"upGrad is India’s largest online higher education company providing programs in Data Science, Technology, Management and Law, to students, working professionals and enterprises.","Phalgun Kompalli, Ronnie Screwvala, Mayank Kumar",India Infoline Finance,25000000.0,Unstated,2021,Tech
174,FlashPrep,2020.0,Bangalore,Information Technology,FlashPrep is the smart way to master learning.,"Dhiresh Nagwani, Ashwini Dhekane",Venture Highway,500000.0,Pre seed,2021,Tech
175,Kenko Health,2019.0,Mumbai,Information Technology,"A unique healthcare financing solution focusing on ROI, affordability and superior customer experience","Aniruddha Sen, Dhiraj Goel","BEENEXT, Orios",1700000.0,Pre series,2021,Tech
176,Wiz Freight,2020.0,Chennai,Financials,"Wiz is a tech-enabled freight forwarding platform. We make global shipping efficient, hassle-free and highly visible for businesses.","Ramkumar Govindarajan, Ramkumar Ramachandran",Axilor,3500000.0,Seed,2021,Non-tech
177,Credgenics,2018.0,New Delhi,Financials,Credgenics is India’s first of it's kind NPA resolution platform backed by credible investors including Accel Partners and Titan Capital.,"Rishabh Goel, Mayank Khera, Anand Agrawal","Westbridge Capital, Tanglin Venture Partners",25000000.0,Series A,2021,Non-tech
178,BlueLearn,2020.0,Goa,Information Technology,"Building India's largest student community. Learn, network, and grow together with 40,000+ students!","Harish Uthayakumar, Shreyans Sancheti","100X.VC﻿,﻿ Titan Capital, Rahul Mathur, Gaurav Mandlecha",400000.0,Pre seed,2021,Tech
179,NimbleBox.ai,2018.0,Chennai,Information Technology,A full-stack MLOps platform built to create & launch multi-cloud apps on the cloud,"Anshuman Pandey, Rohan Pooniwala",Venture Catalysts,1000000.0,Seed,2021,Tech
180,Pickrr,2015.0,Gurugram,Financials,India's 1st Virtual Logistics solution catering to Global Brands/SMEs/Online sellers/AmazonSellers,"Rhitiman Majumdar, Gaurav Mangla, Ankit Kaushik","IIFL, Amicus Capital, Ananta Capital",12000000.0,Series B,2021,Non-tech
181,Stellaris Venture Partners,2015.0,Bangalore,Financials,Early-stage tech VC in India.,"Ritesh Banglani, Alok Goyal, Rahul Chowdhri",,225000000.0,Unstated,2021,Non-tech
182,Grip Invest,2020.0,Gurugram,Financials,"Grip offers investment opportunities to invest in physical assets leased to corporates, to earn fixed monthly returns.","Nikhil Aggarwal, Vivek Gulati","Venture Highway, Endiya Partners",3000000.0,Series A,2021,Non-tech
183,Heads Up For Tails,2008.0,New Delhi,Health Care,"A one stop shop for all pet products with paw prints all across India, we design, manufacture and customize stylish",Rashi Sanon,"Verlinvest, Sequoia Capital India",37000000.0,Series A,2021,Non-tech
184,Blue Tokai Coffee Roasters,2012.0,New Delhi,Customer Staples,"Source, roast, and brew India's best single-origin Arabica coffee.","Matt Chitharanjan, Shivam Shahi, Namrata Asthana",Anicut Angel Fund,2000000.0,Pre series,2021,Non-tech
185,Neeman,2017.0,Hyderabad,Consumer Discretionary,India's first Startup to use the world's most revolutionary Natural & Renewable fibers in Footwear,Taran Chhabra,Sixth Sense Ventures,2000000.0,Series A,2021,Non-tech
186,BharatPe,2018.0,New Delhi,Information Technology,"BharatPe launched India’s first UPI interoperable QR code, first ZERO MDR payment acceptance service, and first UPI payment backed merchant cash advance service.","Ashneer Grover, Shashvat Nakrani",Tiger Global,370000000.0,Later stage,2021,Tech
187,GoSats,2020.0,Bangalore,Information Technology,GoSats is a bitcoin stacking app that lets users earn bitcoin cashbacks when they shop with our partnered merchants.,"Mohammed Roshan, Roshni Aslam","Alphabit Fund, Fulgur Ventures, Stacks Accelerator, SBX Capital",700000.0,Seed,2021,Tech
188,StockGro,2020.0,Bangalore,Information Technology,Making Investment Social- India's First Social Trading Platform,Ajay Lakhotia,"Roots Ventures, Velo Partners",5000000.0,Pre series,2021,Tech
189,Onsurity,2020.0,Bangalore,Health Care,"Onsurity is a HealthTech & Employee Benefits organization, disrupting the SME and startup healthcare market with technology and innovation!","Yogesh Agarwal, Kulin Shah",Nexus Venture Partners,16000000.0,Series A,2021,Non-tech
190,Khabri,2017.0,Gurugram,Communication Services,Khabri is India’s fastest growing vernacular audio platform targeted at next billion internet users.,"Pulkit Sharma, Aankit Roy, Sandeep Singh",,2000000.0,Pre series,2021,Non-tech
191,Celcius,2020.0,Mumbai,Industrials,Celcius is a asset light startup with a web and app based SaaS platform which brings the complete cold chain solution network ONLINE,Swarup Bose,"Mumbai Angels Network, Huddle, Lumis Partners",500000.0,Unstated,2021,Non-tech
194,Rocket Skills,2020.0,Gurugram,Information Technology,Rocket Skills is the #1 Platform for learning skills which will bring a high positive impact on your business and life skills.,"Vibhu Bahuguna, Mohit Jain","Better Capital, First Cheque, Titan Capital",200000.0,Pre seed,2021,Tech
195,RenewBuy,2015.0,Gurugram,Information Technology,"Simplify insurance and aim to take it to the last Indian, through our digitally enabled POSP advisors.",Balachander Sekhar,Evolvence Capital,10000000.0,Series C,2021,Tech
196,Faarms,2020.0,Bangalore,Information Technology,FAARMS™ is a new age digital platform which aims to offer a one-stop solution to farmers.,"Taranbir Singh, Alok Duggal",,2000000.0,Seed,2021,Tech
197,UrbanMatrix Technologies,2019.0,Chennai,Information Technology,Helping Industries & Organizations to seamlessly adopt drones in their workflow to elevate efficiency & profitability,"Rishabh Verma, Ashutosh Kumar, Divyanshu Pundir",SARA ELGI,100000.0,Unstated,2021,Non-tech
198,Jupiter,2019.0,Mumbai,Financials,"A digital banking experience that keeps pace with you, and helps master money too.",Jitendra Gupta,"Nubank, Global Founders Capital, Sequoia Capital India, Matrix Partners India",44000000.0,Series B,2021,Non-tech
199,Pixuate,2012.0,Bangalore,Information Technology,"Pixuate enables intelligent business process automation through advanced computer vision, AI and machine learning.","Akshata Kari, Prathvi Palekar",SucSEED Indovation Fund,1000000.0,Seed,2021,Tech
200,Playo,2014.0,Bangalore,Information Technology,Playo is a one stop destination app for all things sports,Daanish Suhail,ah! Ventures High Tables,500000.0,Pre series,2021,Non-tech
201,Toothsi,2018.0,Mumbai,Health Care,India’s first and largest at home smile makeover service using invisible aligners.,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale","Eight Roads Ventures, Think Investments, Mankekar Family Office",20000000.0,Series B,2021,Tech
202,Soothe Healthcare,2012.0,New Delhi,Consumer Discretionary,"Soothe is a consumer goods company engaged in manufacture, marketing & distribution of Personal Hygiene products.",Sahil Dharia,A91 Partners,10000000.0,Series C,2021,Non-tech
203,Goodmeetings,2020.0,Bangalore,Information Technology,AI-Based Platform Built Exclusively for Remote Selling,Srinivasan Narayan,Chiratae Ventures,1700000.0,Series A,2021,Tech
204,Apnaklub,2020.0,Bangalore,Consumer Discretionary,Apnaklub is India's most trusted wholesale platform that empowers people to set up their own retail and sales businesses by providing better-than-industry margins,"Shruti, Manish Kumar",Sequoia’s Surge,3500000.0,Seed,2021,Non-tech
205,ChefKart,2020.0,Gurugram,Consumer Discretionary,"ChefKart is an end to end kitchen aide that plans, shops and cooks for you in your home kitchen.","Vaibhav Gupta, Arpit Gupta, Aman Gupta","Lead Angels, Titan Capital, Pravega Ventures",300000.0,Pre seed,2021,Non-tech
206,Fashinza,2020.0,Gurugram,Information Technology,A new-age supply chain and product development platform for the fashion industry.,"Pawan Gupta, Abhishek Sharma","Accel Partners, Elevation Capital",20000000.0,Series A,2021,Non-tech
208,QuickShift,2016.0,Pune,Financials,"Helping D2C brands scale with our AI powered Dashboard that manages Inventory, Order Processing, WMS, Shipping, Customer Support",Anshul Goenka,"Anicut Angel Fund, Axilor Ventures",770000.0,Seed,2021,Non-tech
209,StackBOX,2016.0,Bangalore,Financials,DISTRIBUTION SIMPLIFIED,"Shanmukha Boora, Sabyasachi Bhattacharjee","Ecosystem Ventures, CMM group",1200000.0,Unstated,2021,Non-tech
211,infra.market,2016.0,Thane,Industrials,Infra.Market is a Construction Solutions company that leverages technology to provide an enhanced procurement experience for all players in the construction ecosystem.,"Souvik Sengupta, Aaditya Sharda",Tiger Global,125000000.0,Later stage,2021,Non-tech
212,CollegeDekho,2015.0,Gurgaon,Information Technology,"Collegedekho.com is Student’s Partner, Friend & Confidante, To Help Him Take a Decision and Move On to His Career Goals",Ruchir Arora,"Disrupt ADQ, QIC",35000000.0,Series B,2021,Non-tech
213,BOX8,2012.0,Mumbai,Customer Staples,India's Largest Desi Meals Brand,"Anshul Gupta, Amit Raj",Tiger Global,40000000.0,Unstated,2021,Non-tech
214,Simpl,2015.0,Bangalore,Consumer Discretionary,"Simpl empowers merchants to build trusted relationships with their customers one transaction at a time through one-click checkout, personalized PoS credit and intelligent loyalty rewards","Nitya, Chaitra Chidanand","Valar Ventures, IA Ventures",40000000.0,Series B,2021,Non-tech
215,8i Ventures,2018.0,Mumbai,Financials,8i is a Mumbai & Bangalore based early stage fund that backs founders creating fintech and consumer category leaders in India.,Vikram Chachra,,50000000.0,Unstated,2021,Non-tech
216,PayGlocal,2021.0,Bangalore,Financials,PayGlocal is a FinTech solving for global payments acceptance,"Prachi Dharani, Rohit Sukhija, Yogesh Lokhande",Sequoia Capital India,4900000.0,Series A,2021,Non-tech
217,Curefit,2016.0,Bangalore,Health Care,Tata Digital-backed Curefit,"Mukesh Bansal, Ankit",Zomato,145000000.0,Unstated,2021,Tech
218,Pocket FM,2018.0,Bangalore,Information Technology,"Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.","Rohan, Nishanth Srinivas, Prateek Dixit","Lightspeed, Times Group, Tanglin Venture Partners",22000000.0,Series B,2021,Non-tech
219,CHARGE+ZONE,2018.0,Vadodara,Information Technology,CHARGE+ZONE is a tech-driven EV Charging infrastructure company specializing in B2B and B2C charging services on both dedicated and opportunity based charging using smart-grid network.,Kartikey Hariyani,Venture Catalysts,10000000.0,Unstated,2021,Non-tech
220,PlanetSpark,2017.0,Gurugram,Industrials,PlanetSpark is building the World Leader in Communication Skills for children in the age groups of 4 to 14 years,"Maneesh Dhooper, Kunal Malik","Binny Bansal, Deep Kalra, Dr Ashish Gupta, Gokul Rajaram, Shirish Nadkarni",13000000.0,Series B,2021,Non-tech
221,LenDenClub,2015.0,Mumbai,Financials,P2P lending platform delivering high returns of up to 12% p.a. for 5 years to investors.,"Bhavin Patel, Dipesh Karki","Tuscan Ventures, Ohm Stock Brokers, Artha Venture Fund",10000000.0,Series A,2021,Non-tech
